smiles,group
N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,training
Cc1occc1C(=O)Nc1ccccc1,training
CC(C)=CCCC(C)=CC=O,training
c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21,training
c1ccsc1,training
c1ccc2scnc2c1,training
Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,training
CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,training
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,training
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,test
O=C1CCCN1,training
Clc1ccc2ccccc2c1,training
C=CCCC,test
CCC1(c2ccccc2)C(=O)NCNC1=O,training
CCCCCCCCCCCCCC,valid
CC(C)Cl,training
CCC(C)CO,training
N#Cc1ccccc1,training
CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,training
CCCCCCCCCC(C)O,test
Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1,training
O=c1[nH]c2c(c(=O)n1C1CCCCC1)CCC2,test
CCOP(=S)(OCC)SCSCC,training
CCOc1ccc(NC(C)=O)cc1,training
CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],training
CCCCCCCO,training
Cn1c(=O)c2[nH]cnc2n(C)c1=O,training
CCCCC1(CC)C(=O)NC(=O)NC1=O,training
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,training
CCCCCCCC(=O)OC,training
CCc1ccc(CC)cc1,training
CCOP(=S)(OCC)SCSC(C)(C)C,training
COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,training
C=C(Cl)Cl,training
Cc1cccc2c1Cc1ccccc1-2,training
CCCCC=O,training
c1ccc(Nc2ccccc2)cc1,training
CN(C)C(=O)SCCCCOc1ccccc1,training
CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,test
CCCCCCCI,valid
Clc1cccc(-c2ccccc2)c1,training
C=CCCCO,training
O=C1NC(=O)C2(CCC2)C(=O)N1,training
CC1CCC(C(C)C)C(O)C1,test
CC(C)OC=O,test
CCCCCC(C)O,training
CC(=O)Nc1ccc(Br)cc1,training
Nc1cnn(-c2ccccc2)c(=O)c1Br,training
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],training
Cc1ccc2ccc(C)nc2c1,training
C#CCCCCCC,training
CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,training
c1ccc2c(c1)ccc1c3ccccc3ccc21,training
CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O,test
Clc1cccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,valid
Cc1ccccc1O,valid
CC(C)CCC(C)(C)C,training
Cc1ccc(C)c2ccccc12,valid
Cc1cc2c3ccccc3ccc2c2ccccc12,training
CCCC(C)=O,training
Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,training
CCCOC(=O)CC,training
CC12C=CC(=O)C=C1CCC1C3CC(O)C(O)(C(=O)CO)C3(C)CC(O)C12F,training
Nc1ccc(O)cc1,training
O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,valid
