smiles,group,sub_smi
N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,training,*C(*)C#N
N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,training,*O*
N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,training,*C1OC(*)C(O)C(O)C1O
N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,training,*C*
N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,training,*O*
N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,training,*C1OC(*)C(O)C(O)C1O
N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,training,*CO
N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,training,*c1ccccc1
Cc1occc1C(=O)Nc1ccccc1,training,*N*
Cc1occc1C(=O)Nc1ccccc1,training,*c1ccccc1
Cc1occc1C(=O)Nc1ccccc1,training,*c1ccoc1C
Cc1occc1C(=O)Nc1ccccc1,training,*C(*)=O
CC(C)=CCCC(C)=CC=O,training,*=CC=O
CC(C)=CCCC(C)=CC=O,training,*=C(C)C
CC(C)=CCCC(C)=CC=O,training,*=CCCC(=*)C
c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21,training,c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21
c1ccsc1,training,c1ccsc1
c1ccc2scnc2c1,training,c1ccc2scnc2c1
Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,training,*c1c(Cl)cc(Cl)cc1Cl
Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,training,*c1c(Cl)cccc1Cl
CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,training,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,training,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,test,*c1cc2c(cc1*)C1C(=O)c3ccc4c(c3OC1CO2)CC(C(=C)C)O4
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,test,*OC
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,test,*OC
O=C1CCCN1,training,O=C1CCCN1
Clc1ccc2ccccc2c1,training,Clc1ccc2ccccc2c1
C=CCCC,test,C=CCCC
CCC1(c2ccccc2)C(=O)NCNC1=O,training,*CC
CCC1(c2ccccc2)C(=O)NCNC1=O,training,*C1(*)C(=O)NCNC1=O
CCC1(c2ccccc2)C(=O)NCNC1=O,training,*c1ccccc1
CCCCCCCCCCCCCC,valid,CCCCCCCCCCCCCC
CC(C)Cl,training,CC(C)Cl
CCC(C)CO,training,CCC(C)CO
N#Cc1ccccc1,training,N#Cc1ccccc1
CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,training,*CC
