smiles,group,sub_smi
N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,training,*C#N
N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,training,*O
N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,training,*O
N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,training,*O
N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,training,*O
N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,training,*O
N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,training,*O
N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,training,*O
Cc1occc1C(=O)Nc1ccccc1,training,*=O
CC(C)=CCCC(C)=CC=O,training,*=O
Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,training,*[X]
Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,training,*[X]
Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,training,*[X]
Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,training,*[X]
Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,training,*[X]
CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,training,*O
CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,training,*O
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,training,*[X]
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,training,*[X]
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,training,*[X]
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,training,*[X]
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,training,*[X]
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,training,*[X]
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,test,*OC
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,test,*OC
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,test,*=O
O=C1CCCN1,training,*=O
Clc1ccc2ccccc2c1,training,*[X]
CCC1(c2ccccc2)C(=O)NCNC1=O,training,*=O
CCC1(c2ccccc2)C(=O)NCNC1=O,training,*=O
CC(C)Cl,training,*[X]
CCC(C)CO,training,*O
N#Cc1ccccc1,training,*C#N
CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,training,*=S
CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,training,*OCC
CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,training,*OCC
CCCCCCCCCC(C)O,test,*O
Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1,training,*[X]
Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1,training,*[X]
Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1,training,*[X]
Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1,training,*[X]
Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1,training,*[X]
O=c1[nH]c2c(c(=O)n1C1CCCCC1)CCC2,test,*=O
O=c1[nH]c2c(c(=O)n1C1CCCCC1)CCC2,test,*=O
CCOP(=S)(OCC)SCSCC,training,*=S
CCOP(=S)(OCC)SCSCC,training,*OCC
CCOP(=S)(OCC)SCSCC,training,*OCC
CCOc1ccc(NC(C)=O)cc1,training,*NC(=O)C
CCOc1ccc(NC(C)=O)cc1,training,*OCC
