smiles,group,sub_smi
N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,training,*C#N
N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,training,c1ccc(C(OC2OC(COC3OC(*)C(*)C(*)C3*)C(*)C(*)C2*)*)cc1
N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,training,*CO
N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,training,*O
N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,training,*O
N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,training,*O
N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,training,*O
N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,training,*O
N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,training,*O
Cc1occc1C(=O)Nc1ccccc1,training,*C
Cc1occc1C(=O)Nc1ccccc1,training,O=C(Nc1ccccc1)c1ccoc1*
CC(C)=CCCC(C)=CC=O,training,CC(C)=CCCC(C)=CC=O
c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21,training,c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21
c1ccsc1,training,c1ccsc1
c1ccc2scnc2c1,training,c1ccc2scnc2c1
Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,training,*Cl
Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,training,c1cc(*)c(-c2c(*)cc(*)cc2*)c(*)c1
Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,training,*Cl
Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,training,*Cl
Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,training,*Cl
Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,training,*Cl
CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,training,*C
CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,training,c1cc2c(cc1*)CCC1C2CCC2(*)C1CCC2*
CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,training,*O
CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,training,*O
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,training,*Cl
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,training,C1C2C3OC3C1C1C2C2(*)C(*)=C(*)C1(*)C2*
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,training,*Cl
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,training,*Cl
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,training,*Cl
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,training,*Cl
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,training,*Cl
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,test,*C(=C)C
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,test,O=C1c2ccc3c(c2OC2COc4cc(*)c(*)cc4C12)CC(*)O3
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,test,*OC
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,test,*OC
O=C1CCCN1,training,O=C1CCCN1
Clc1ccc2ccccc2c1,training,*Cl
Clc1ccc2ccccc2c1,training,c1ccc2cc(*)ccc2c1
C=CCCC,test,C=CCCC
CCC1(c2ccccc2)C(=O)NCNC1=O,training,*CC
CCC1(c2ccccc2)C(=O)NCNC1=O,training,O=C1NCNC(=O)C1(c1ccccc1)*
CCCCCCCCCCCCCC,valid,CCCCCCCCCCCCCC
CC(C)Cl,training,CC(C)Cl
CCC(C)CO,training,CCC(C)CO
N#Cc1ccccc1,training,*C#N
N#Cc1ccccc1,training,c1ccc(*)cc1
CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,training,*OP(=S)(OCC)OCC
CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,training,c1c(*)nc(*)nc1*
CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,training,*C
CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,training,*C(C)C
CCCCCCCCCC(C)O,test,CCCCCCCCCC(C)O
Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1,training,*Cl
Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1,training,c1cc(-c2c(*)ccc(*)c2*)c(*)cc1*
Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1,training,*Cl
Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1,training,*Cl
