smiles,extinc_coeff
BrC1=C2N=c3c1c(-c1ccccc1)c1ccc(n31)/C(c1ccccc1)=C1/C=CC(=N1)/C(c1ccccc1)=c1/cc/c([nH]1)=C/2c1ccccc1,3.46
BrCCCCCCC1(CCCCCCBr)c2ccccc2-c2ccc(-c3ccc(-c4ccc(-c5c6c(c(-c7ccc(-c8ccc(-c9ccc%10c(c9)C(CCCCCCBr)(CCCCCCBr)c9ccccc9-%10)s8)s7)c7nsnc57)N=S=N6)s4)s3)cc21,4.3802114
BrCCCCCCC1(CCCCCCBr)c2ccccc2-c2ccc(-c3ccc(-c4sc(-c5c6c(c(-c7sc(-c8ccc(-c9ccc%10c(c9)C(CCCCCCBr)(CCCCCCBr)c9ccccc9-%10)s8)c8c7OCCO8)c7nsnc57)N=S=N6)c5c4OCCO5)s3)cc21,4.3617277
BrCCCCCCC1(CCCCCCBr)c2ccccc2-c2ccc(-c3sc(-c4c5c(c(-c6sc(-c7ccc8c(c7)C(CCCCCCBr)(CCCCCCBr)c7ccccc7-8)c7c6OCCO7)c6nsnc46)N=S=N5)c4c3OCCO4)cc21,5.045323
BrCCCCCCC1(CCCCCCBr)c2ccccc2-c2ccc(-c3sc(-c4c5c(c(-c6sc(-c7ccc8c(c7)C(CCCCCCBr)(CCCCCCBr)c7ccccc7-8)c7c6OCCO7)c6nsnc46)N=S=N5)c4c3OCCO4)cc21,4.2787538
BrCCCCCCOc1ccc(-c2ccc(-c3sc(-c4c5c(c(-c6sc(-c7ccc(-c8ccc(OCCCCCCBr)cc8)cc7)c7c6OCCO7)c6nsnc46)N=S=N5)c4c3OCCO4)cc2)cc1,5.1271048
C#CCCCN1/C(=C/C=C/C=C/C=C/C2=c3c(=O)n(C4CCCCC4)c(=O)n(C4CCCCC4)c3=[O+][B-](F)(F)O2)C(C)(C)c2c1ccc1ccccc21,5.064458
C#CCCCN1/C(=C/C=C/C=C/C=C/C2=c3c(=O)n(C4CCCCC4)c(=O)n(C4CCCCC4)c3=[O+][B-](F)(F)O2)C(C)(C)c2c1ccc1ccccc21,4.968483
C#CCCCN1/C(=C/C=C/C=C/C=C/C2=c3c(=O)n(C4CCCCC4)c(=O)n(C4CCCCC4)c3=[O+][B-](F)(F)O2)C(C)(C)c2c1ccc1ccccc21,5.217484
C#CCCCN1/C(=C/C=C/C=C/C=C/C2=c3c(=O)n(C4CCCCC4)c(=O)n(C4CCCCC4)c3=[O+][B-](F)(F)O2)C(C)(C)c2c1ccc1ccccc21,5.201397
C#CCCCN1/C(=C/C=C/C=C/C=C/C2=c3c(=O)n(C4CCCCC4)c(=O)n(C4CCCCC4)c3=[O+][B-](F)(F)O2)C(C)(C)c2c1ccc1ccccc21,5.021189
C#CCCCN1/C(=C/C=C/C=C/C=C/C2=c3c(=O)n(C4CCCCC4)c(=O)n(C4CCCCC4)c3=[O+][B-](F)(F)O2)C(C)(C)c2c1ccc1ccccc21,5.274158
C#CCCCN1/C(=C/C=C/C=C/C=C/C2=c3c(=O)n(C4CCCCC4)c(=O)n(C4CCCCC4)c3=[O+][B-](F)(F)O2)C(C)(C)c2c1ccc1ccccc21,5.201397
C#CCCCN1/C(=C/C=C/C=C/C=C/C2=c3c(=O)n(C4CCCCC4)c(=O)n(C4CCCCC4)c3=[O+][B-](F)(F)O2)C(C)(C)c2c1ccc1ccccc21,5.262451
C#CCCCN1/C(=C/C=C/C=C/C=C/C2=c3c(=O)n(C4CCCCC4)c(=O)n(C4CCCCC4)c3=[O+][B-](F)(F)O2)C(C)(C)c2c1ccc1ccccc21,4.94939
C#CCCCN1/C(=C/C=C/C=C/C=C/C2=c3c(=O)n(C4CCCCC4)c(=O)n(C4CCCCC4)c3=[O+][B-](F)(F)O2)C(C)(C)c2c1ccc1ccccc21,5.10721
C#CCCCN1/C(=C/C=C/C=C/C=C/C2=c3c(=O)n(C4CCCCC4)c(=O)n(C4CCCCC4)c3=[O+][B-](F)(F)O2)C(C)(C)c2ccccc21,5.1105895
C#CCCCN1/C(=C/C=C/C=C/C=C/C2=c3c(=O)n(C4CCCCC4)c(=O)n(C4CCCCC4)c3=[O+][B-](F)(F)O2)C(C)(C)c2ccccc21,5.0128374
C#CCCCN1/C(=C/C=C/C=C/C=C/C2=c3c(=O)n(C4CCCCC4)c(=O)n(C4CCCCC4)c3=[O+][B-](F)(F)O2)C(C)(C)c2ccccc21,5.2833014
C#CCCCN1/C(=C/C=C/C=C/C=C/C2=c3c(=O)n(C4CCCCC4)c(=O)n(C4CCCCC4)c3=[O+][B-](F)(F)O2)C(C)(C)c2ccccc21,5.240549
C#CCCCN1/C(=C/C=C/C=C/C=C/C2=c3c(=O)n(C4CCCCC4)c(=O)n(C4CCCCC4)c3=[O+][B-](F)(F)O2)C(C)(C)c2ccccc21,5.10721
C#CCCCN1/C(=C/C=C/C=C/C=C/C2=c3c(=O)n(C4CCCCC4)c(=O)n(C4CCCCC4)c3=[O+][B-](F)(F)O2)C(C)(C)c2ccccc21,5.3364596
C#CCCCN1/C(=C/C=C/C=C/C=C/C2=c3c(=O)n(C4CCCCC4)c(=O)n(C4CCCCC4)c3=[O+][B-](F)(F)O2)C(C)(C)c2ccccc21,5.267172
C#CCCCN1/C(=C/C=C/C=C/C=C/C2=c3c(=O)n(C4CCCCC4)c(=O)n(C4CCCCC4)c3=[O+][B-](F)(F)O2)C(C)(C)c2ccccc21,5.363612
C#CCCCN1/C(=C/C=C/C=C/C=C/C2=c3c(=O)n(C4CCCCC4)c(=O)n(C4CCCCC4)c3=[O+][B-](F)(F)O2)C(C)(C)c2ccccc21,5.0374265
C#CCCCN1/C(=C/C=C/C=C/C=C/C2=c3c(=O)n(C4CCCCC4)c(=O)n(C4CCCCC4)c3=[O+][B-](F)(F)O2)C(C)(C)c2ccccc21,5.2227163
C#CCOc1ccc(-c2cc(-c3ccccc3)c3c([s+]2)/C(=C/c2ccc(-c4ccc(N(C)C)cc4)s2)CC3)cc1,4.606725
C#CCOc1ccc(-c2cc(-c3ccccc3)c3c([s+]2)/C(=C/c2ccc(N(C)C)cc2)CC3)cc1,5.0677924
C#CCOc1ccc(-c2cc(-c3ccccc3)c3n2[B-](F)(F)[N+]2=C(c4ccc(OCCCS(=O)(=O)[O-])cc4)C=C(c4ccccc4)C2=N3)cc1,4.838849
C#CCOc1ccc(C2=CC(c3ccccc3)=C3CCC(/C=C(\Cl)C=C4CCc5c(-c6ccccc6)cc(-c6ccc(COC#C)cc6)[s+]c54)=C3S2)cc1,4.534026
C#CCOc1ccc(C2=CC(c3ccccc3)=C3CCCC(/C=C(\Cl)C=C4CCCc5c(-c6ccccc6)cc(-c6ccc(COC#C)cc6)[o+]c54)=C3O2)cc1,4.677607
C#CCOc1ccc(C2=CC(c3ccccc3)=C3CCCC(/C=C/C=C4CCCc5c(-c6ccccc6)cc(-c6ccc(COC#C)cc6)[o+]c54)=C3O2)cc1,4.921166
C#CCn1c2ccccc2c2cc(/C=C/C3=[N+]4C(=C(c5ccc(I)cc5)c5c(C)c(Cl)c(/C=C/c6ccc7c(c6)c6ccccc6n7CC#C)n5[B-]4(F)F)C(C)=C3Cl)ccc21,4.836324
C#CCn1c2ccccc2c2cc(/C=C/C3=[N+]4C(=C(c5ccc(I)cc5)c5c(C)c(Cl)c(/C=C/c6ccc7c(c6)c6ccccc6n7CC#C)n5[B-]4(F)F)C(C)=C3Cl)ccc21,4.8369565
C#CCn1c2ccccc2c2cc(/C=C/C3=[N+]4C(=C(c5ccc(I)cc5)c5c(C)c(Cl)c(/C=C/c6ccc7c(c6)c6ccccc6n7CC#C)n5[B-]4(F)F)C(C)=C3Cl)ccc21,4.9350033
C#CCn1c2ccccc2c2cc(/C=C/C3=[N+]4C(=C(c5ccc(I)cc5)c5c(C)cc(/C=C/c6ccc7c(c6)c6ccccc6n7CC#C)n5[B-]4(F)F)C(C)=C3)ccc21,4.9772663
C#C[B-]1(F)n2c(c3ccccc3c2-c2ccc([Si](C)(C)C)s2)N=C2c3ccccc3C(c3ccc([Si](C)(C)C)s3)=[N+]21,4.99
C#C[B-]1(F)n2c(c3ccccc3c2-c2cccn2C)N=C2c3ccccc3C(c3cccn3C)=[N+]21,5.02
C#Cc1ccc(-c2c3nc(c(-c4ccc(C#C)cc4)c4ccc([nH]4)c(-c4cc(C(C)(C)C)cc(C(C)(C)C)c4)c4cc(c(-c5cc(C(C)(C)C)cc(C(C)(C)C)c5)c5ccc2[nH]5)C=N4)C=C3)cc1,3.99
C#Cc1ccc(C2=c3ccc([nH]3)=C(c3ccc(C#C)cc3)C3=N/C(=C(/c4cc(C(C)(C)C)cc(C(C)(C)C)c4)c4cc(c[nH]4)/C(c4cc(C(C)(C)C)cc(C(C)(C)C)c4)=C4/C=CC2=N4)C=C3)cc1,3.94
C(#Cc1ccccc1)C1=C(c2ccccc2)C2=Nc3c(-c4ccccc4)c(C#Cc4ccccc4)c4n3[B-]3(Oc5ccccc5C1=[N+]23)Oc1ccccc1-4,4.96
C/C(=C\C=C1/N(C)c2ccc3ccccc3c2C1(C)C)C1=C/C(=C(C)/C=C/C2=[N+](C)c3ccc4ccccc4c3C2(C)C)CC(C)(C)C1,5.36
C/C(=C\C=C1/N(C)c2ccccc2C1(C)C)C1=C/C(=C(C)/C=C/C2=[N+](C)c3ccccc3C2(C)C)CC(C)(C)C1,5.29
C1=C(c2ccccc2)C2=Nc3c(-c4ccccc4)cc4n3[B-]3(Oc5ccccc5C1=[N+]23)Oc1ccccc1-4,5.0755467
C1=C(c2ccccc2)Oc2c(cc3c4c2CCCN4CCC3)/C1=C/C=C/C=C/c1cc(-c2ccccc2)[o+]c2c3c4c(cc12)CCCN4CCC3,5.404834
C1=C2c3cc4ccccc4cc3C3=[N+]2[B-]2(Oc4ccccc43)Oc3ccccc3-c3c4cc5ccccc5cc4c1n32,4.9831753
C1=CC2=C(c3ccccc3)c3c[nH]c(c3)/C(c3ccccc3)=C3/C=CC(=N3)/C(c3ccccc3)=c3/ccc([nH]3)=C(c3ccccc3)C1=N2,4.09
C1=CC2=C(c3ccccc3)c3ccc4c(-c5ccccc5)c5c(n34)=NC(=C5)/C(c3ccccc3)=c3/ccc([nH]3)=C(c3ccccc3)C1=N2,3.5
